"Date","Open","High","Low","Close","Volume"
"05/20/2021","243.96","247.95","243.86","246.48","21,800,720"
"05/19/2021","239.31","243.23","238.6","243.12","25,739,810"
"05/18/2021","246.27","246.41","242.9","243.08","20,167,980"
"05/17/2021","246.55","246.59","243.52","245.18","24,938,180"
"05/14/2021","245.575","249.18","245.49","248.15","23,901,080"
"05/13/2021","241.8","245.6","241.42","243.03","29,624,300"
"05/12/2021","242.165","244.38","238.07","239","36,684,370"
"05/11/2021","244.55","246.6","242.57","246.23","33,641,590"
"05/10/2021","250.87","251.73","247.12","247.18","29,299,890"
"05/07/2021","252.15","254.3","251.17","252.46","27,032,910"
"05/06/2021","246.45","249.86","244.69","249.73","26,491,090"
"05/05/2021","249.06","249.5","245.82","246.47","21,901,330"
"05/04/2021","250.97","251.21","245.76","247.79","32,756,050"
"05/03/2021","253.4","254.35","251.12","251.86","19,626,570"
"04/30/2021","249.74","253.08","249.6","252.18","30,945,100"
"04/29/2021","255.46","256.1","249","252.51","40,589,020"
"04/28/2021","256.078","256.5399","252.95","254.56","46,903,120"
"04/27/2021","261.585","263.19","260.12","261.97","31,014,210"
"04/26/2021","261.66","262.435","260.17","261.55","19,763,350"
"04/23/2021","257.88","261.51","257.27","261.15","21,499,290"
"04/22/2021","260.21","261.78","255.64","257.17","25,606,150"
"04/21/2021","258.94","260.68","257.25","260.58","24,030,380"
"04/20/2021","257.82","260.2","256.84","258.26","19,722,880"
"04/19/2021","260.19","261.48","257.821","258.74","23,209,260"
"04/16/2021","259.47","261","257.6014","260.74","24,878,580"
"04/15/2021","257.931","259.93","257.73","259.5","25,627,480"
"04/14/2021","257.475","258.83","255.16","255.59","23,070,940"
"04/13/2021","257.257","259.19","256.83","258.49","23,837,470"
"04/12/2021","254.71","257.67","254.62","255.91","27,148,670"
"04/09/2021","252.87","255.99","252.44","255.85","24,326,830"
"04/08/2021","252.77","254.139","252","253.25","23,625,200"
"04/07/2021","247.81","250.93","247.19","249.9","22,719,840"
"04/06/2021","247.61","249.4","246.88","247.86","22,931,920"
"04/05/2021","242.76","249.96","242.7","249.07","36,910,610"
"04/01/2021","238.47","242.84","238.0501","242.35","30,337,980"
"03/31/2021","232.91","239.1","232.39","235.77","43,623,470"
"03/30/2021","233.525","233.85","231.1","231.85","24,792,010"
"03/29/2021","236.59","236.8","231.88","235.24","25,227,460"
"03/26/2021","231.55","236.71","231.55","236.48","25,479,850"
"03/25/2021","235.3","236.94","231.57","232.34","34,061,850"
"03/24/2021","237.845","238","235.32","235.46","25,620,130"
"03/23/2021","237.485","241.05","237.07","237.58","31,638,380"
"03/22/2021","230.27","236.9","230.14","235.99","30,127,010"
"03/19/2021","231.02","232.474","229.3496","230.35","46,430,730"
